"R0000100","R0536300","R0536401","R0536402","R1235800","R1318100","R1318200","R1482600","R3961800","R3961900","R3989100","R3989200","R5473600","R5473700","R7237300","R7237400","R9829600","S0920000","S0920100","S0920200","S0920300","S0920400","S0920500","S0920600","S0920700","S1552600","S1552700","T3162500","T3162501","T3162502","T3162503","T3162504","T3162505","T3162506","T3162507","T3162508","T3162509","T3162600","T3162601","T3162602","T3162603","T3162700","T3162701","T3162702","T3162703","T6216400","T6216401","T6216402","T6216403","T6216500","T6216501","T6216502","T6216503","T9039400","T9039500","T9039600","T9039700","T9039800","T9039900","T9040000","T9040100","U1028900","U1029000","U1029100","U1029200","U1029300","U1029400","U1029500","U1029600","U2969100","U2969200","U2969300","U2969400","U2969500","U2969600","U2969700","U2969800","U4954600","Z9033700","Z9033800","Z9033900","Z9034000","Z9034100","Z9034200"
1,2,9,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,45070,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,1,-1,3,-1,1,-1,1,-1,1,1,1,-1,-1,5,4,5,5,1,1,7,7,5,1,7,1,2,3,5,1,3,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,3,3,2,-4,-4
2,1,7,1982,1,100,145,2,-4,-4,-4,-4,-4,-4,-4,-4,58483,2,4,1,4,4,2,3,5,-4,-4,5,6,6,7,7,6,7,5,6,6,1,4,5,5,2,6,6,4,1,1,7,7,5,2,6,4,3,1,4,2,4,4,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,4,5,4,5,-4,-4
3,2,9,1983,1,12,82,2,-4,-4,-4,-4,-4,-4,-4,-4,27978,3,3,1,4,3,3,3,5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,3,5,1,5,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,1,2,4,2,4,-4,-4
4,2,2,1981,1,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,37012,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,3,7,1,7,4,5,3,7,4,1,1,7,7,1,4,6,6,1,1,7,7,1,1,7,7,5,3,5,1,4,4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
5,1,10,1982,1,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,4,1,2,4,2,2,5,-4,-4,7,7,7,3,7,5,6,2,6,1,1,2,6,6,3,6,5,3,1,2,6,6,5,6,6,2,5,1,5,1,5,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,6,3,-4,-4
6,2,1,1982,1,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,22001,1,4,1,5,5,1,4,5,-4,-4,7,3,7,3,6,5,6,1,7,1,1,1,7,7,1,3,6,6,1,1,7,7,3,1,7,7,5,5,5,1,2,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,4,2,4,-4,-4
7,1,4,1983,1,39,96,2,-4,-4,-4,-4,-4,-4,-4,-4,3585,2,4,4,4,4,1,2,4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,7,7,1,5,7,1,-5,-5,-5,-5,-5,-5,-5,-5,4,5,5,2,2,5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,4,-3,4,-4,-4
8,2,6,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,4,1,5,4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,1,5,2,5,2,-4,-4
9,1,10,1982,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,3,1,3,5,1,1,5,-4,-4,5,1,7,1,6,5,6,2,7,1,1,1,6,5,3,2,7,7,1,1,6,5,7,4,6,7,4,2,5,2,5,4,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,2,3,-4,-4
10,1,3,1984,1,32,93,4,58,103,75,110,88,118,91,120,-4,3,3,3,3,4,2,3,5,-4,-4,6,4,6,4,5,6,6,5,6,4,1,1,6,5,5,6,7,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,4,4,2,3,4,3,2,1,-4,-4,-4,-4,-3,5
11,2,6,1982,1,55,102,2,-4,-4,-4,-4,-4,-4,-4,-4,30583,3,4,1,4,3,4,4,3,-4,-4,6,7,7,5,7,6,6,2,4,4,1,2,7,7,6,4,4,2,3,4,5,3,7,6,4,2,2,1,3,1,2,2,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,4,7
12,1,10,1981,1,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,4,3,4,6,1,5,2,5,2,1,2,7,7,6,3,3,4,2,2,7,7,4,2,6,4,5,4,3,1,2,2,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
13,1,11,1984,1,-3,-3,2,61,104,66,106,68,107,66,106,67533,2,5,1,5,4,2,2,5,70,108,5,5,6,6,6,7,4,4,3,3,6,6,5,6,7,2,4,2,7,7,5,3,7,2,1,1,4,2,3,1,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
14,1,7,1980,1,-4,-4,2,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-2,-2,5,1,5,-2,1,-2,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,6,2
15,2,1,1983,1,-3,-3,2,-4,-4,-4,-4,-4,-4,-4,-4,26024,4,4,1,5,4,2,1,5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,7,7,1,1,7,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,6,-3,6,-3,6
16,1,2,1982,1,39,96,2,-4,-4,-4,-4,-4,-4,-4,-4,44451,1,4,1,5,4,2,1,5,-4,-4,7,1,7,3,5,2,6,3,5,1,4,3,7,4,7,4,4,4,1,2,-2,-2,6,5,-2,3,-2,5,4,1,3,4,3,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,3,5,3,5,-4,-4
17,2,11,1981,1,18,86,2,-4,-4,-4,-4,-4,-4,-5,-5,30811,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
18,1,2,1982,1,39,96,1,-4,-4,-4,-4,-4,-4,-5,-5,9339,1,5,1,5,3,5,5,5,-4,-4,2,1,7,1,7,7,7,1,7,1,1,7,7,7,7,1,7,2,1,3,7,7,7,2,7,7,5,1,5,1,5,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
19,1,4,1984,1,-3,-3,1,5,75,18,86,9,80,-4,-4,8334,2,4,1,5,5,1,4,5,5,75,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1,-1,-1,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,4,4,5,1,3,5,3,1,-4,-4,-4,-4,-4,-4,-4,-4,0,3,6,5,6,-4,-4
20,1,12,1980,1,9,80,1,-4,-4,-4,-4,-4,-4,-5,-5,11025,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,7,7,1,1,7,7,-5,-5,-5,-5,-5,-5,-5,-5,5,5,5,1,5,5,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
21,1,8,1982,1,25,90,2,-4,-4,-4,-4,-4,-4,-4,-4,3505,1,5,2,4,3,2,4,5,-4,-4,5,-2,7,1,6,6,6,1,4,2,5,6,6,6,5,3,7,2,3,5,3,4,3,3,2,2,5,1,5,1,5,5,1,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
22,1,6,1982,1,-3,-3,2,-4,-4,-4,-4,-4,-4,-4,-4,10443,2,5,2,5,4,3,2,5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,7,7,6,3,6,4,2,2,4,1,1,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-3,5,-3,5,-4,-4
23,2,1,1983,1,47,99,2,-4,-4,-4,-4,-4,-4,-4,-4,6423,1,2,1,3,3,2,5,5,-4,-4,7,4,7,4,7,1,7,2,1,1,1,7,7,7,3,-2,3,7,1,1,7,7,2,7,5,5,3,4,2,1,3,2,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,6,2,6,-4,-4
24,1,6,1984,1,23,89,2,1,65,1,65,19,87,-3,-3,6120,3,2,5,5,4,4,4,5,-4,-4,3,5,5,7,6,7,5,5,5,3,3,3,5,7,5,7,5,5,1,1,7,5,7,7,1,5,2,5,2,1,5,-2,1,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
25,2,3,1983,1,-3,-3,2,-4,-4,-4,-4,-4,-4,-4,-4,5403,3,4,4,2,4,2,2,5,-4,-4,5,1,5,7,5,2,5,5,6,5,6,2,5,5,4,6,3,4,7,5,6,6,7,6,6,3,3,4,4,2,2,2,4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
26,1,10,1980,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,12866,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,1,7,7,6,1,3,4,7,-2,5,5,4,1,5,1,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-3,4,-3,4,-4,-4
27,1,5,1981,1,37,95,1,-4,-4,-5,-5,-4,-4,-4,-4,9161,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,7,6,3,7,2,6,4,5,4,1,5,7,6,5,3,5,7,1,6,7,5,3,5,7,7,4,4,5,1,4,3,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
28,2,11,1983,1,53,101,1,-4,-4,-4,-4,-4,-4,-4,-4,17058,1,2,1,5,4,1,2,5,-4,-4,5,3,7,3,5,5,5,1,7,6,2,2,7,6,6,1,6,6,1,2,7,6,6,1,7,7,3,2,2,2,5,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,-4,-4
29,2,1,1983,1,-3,-3,4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
30,1,6,1981,1,-4,-4,4,-5,-5,-4,-4,-5,-5,-5,-5,36755,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
31,1,7,1982,1,68,107,4,-4,-4,-4,-4,-4,-4,-4,-4,62806,4,4,3,3,3,1,5,1,-4,-4,5,5,6,6,4,6,4,4,6,4,4,5,3,3,6,2,6,2,7,7,7,6,7,7,5,4,3,3,3,3,3,3,5,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,4,3,-4,-4
32,2,7,1981,1,-4,-4,4,-4,-4,-4,-4,-5,-5,-4,-4,39949,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,2,6,4,5,2,7,3,4,1,3,3,7,7,4,4,4,7,2,2,7,6,2,1,7,7,3,4,4,2,4,5,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,2,3,2,-4,-4
33,2,12,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,96655,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,5,5,5,5,5,2,4,3,1,2,6,5,5,5,6,3,4,3,7,5,5,1,3,-2,2,2,3,1,4,4,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,5,5,2,-4,-4
34,2,12,1984,1,63,105,4,7,78,18,86,5,76,16,85,35107,2,4,4,4,3,3,3,5,-4,-4,5,5,6,3,7,4,5,4,6,4,2,2,7,6,7,7,5,1,3,3,6,6,7,6,4,4,3,3,3,1,4,3,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,2,6,2,6,-4,-4
35,1,1,1983,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,59270,4,3,2,4,4,2,3,1,-4,-4,5,5,6,3,6,4,5,6,6,3,4,3,5,4,5,4,4,4,4,3,5,5,4,3,4,5,3,3,3,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,4,5,4,5,-4,-4
36,2,8,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,52192,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,5,7,5,6,5,6,1,6,4,1,2,6,7,4,4,6,4,1,1,7,7,4,4,6,4,3,4,4,1,5,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
37,2,11,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,82912,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,7,5,5,5,5,3,3,4,3,3,7,4,2,6,5,1,3,3,6,5,2,6,5,2,2,3,3,3,4,2,2,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,6,2,4,2,-4,-4
38,2,9,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,68753,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,6,6,2,7,2,6,4,5,2,1,1,6,6,5,7,4,1,2,2,6,6,5,5,3,3,4,4,3,2,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
39,1,2,1980,1,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,45900,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,5,7,3,4,4,6,1,6,2,2,3,7,5,7,4,6,4,-5,-5,-5,-5,-5,-5,-5,-5,3,3,3,3,2,5,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,3,3,3,3,-4,-4
40,2,5,1984,1,18,86,4,-4,-4,42,97,18,86,14,84,-4,3,4,2,4,4,2,4,4,5,75,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,6,2,6,-4,-4
41,2,1,1983,1,39,96,4,-4,-4,-4,-4,-4,-4,-4,-4,88652,2,3,1,5,5,1,3,5,-4,-4,7,2,7,1,7,2,6,1,7,5,1,3,7,6,5,5,5,5,1,2,6,6,7,7,5,5,3,3,4,2,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,4,6,5,-4,-4
42,1,8,1983,1,39,96,4,-4,-4,-4,-4,-4,-4,-4,-4,44217,2,3,2,4,4,2,1,5,-4,-4,6,1,6,1,4,4,6,1,7,1,4,4,4,5,-2,1,4,2,2,6,4,6,6,2,4,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,5,3,5,-4,-4
43,2,10,1981,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-5,-5,22965,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,4,5,5,4,7,7,2,7,1,1,7,5,6,7,4,6,7,4,5,4,4,-2,6,4,4,4,4,3,1,3,3,4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
44,1,12,1981,1,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,25325,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,6,7,5,5,6,7,1,6,2,2,7,7,7,2,2,6,5,1,5,6,6,3,1,6,6,-1,5,5,1,-2,4,1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,-4,-4
45,2,2,1984,1,9,80,1,4,74,4,73,-4,-4,7,78,-4,2,2,1,3,3,3,5,5,1,67,7,5,7,7,7,3,7,7,7,7,1,2,4,7,4,5,5,1,1,4,7,7,7,6,4,7,2,2,3,1,3,2,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
46,1,2,1984,1,18,86,1,2,69,2,68,4,74,4,73,-4,3,5,1,5,5,1,5,5,-4,-4,7,7,7,4,2,6,1,1,1,1,7,7,7,7,1,7,7,7,-5,-5,-5,-5,-5,-5,-5,-5,5,5,5,1,5,3,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,0,1,7,-3,7,-4,-4
47,2,9,1982,1,12,82,1,-4,-4,-4,-4,-4,-4,-4,-4,46475,1,5,1,5,5,1,1,5,-4,-4,6,1,5,5,1,6,5,7,3,6,1,1,7,7,6,1,5,1,1,1,7,7,1,1,6,7,5,2,4,1,3,4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,4,4,4,4,6,4
48,2,7,1983,1,10,81,1,-4,-4,-4,-4,-4,-4,-4,-4,63769,2,-1,1,5,4,3,2,5,-4,-4,6,4,6,1,6,4,6,4,6,1,1,1,5,5,4,1,4,4,1,1,7,5,2,1,4,6,5,5,5,2,4,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,3,5,3,5,-3,4
49,2,12,1982,1,77,111,1,-4,-4,-4,-4,-4,-4,-4,-4,79413,1,4,1,5,4,2,1,5,-4,-4,6,2,7,4,6,5,7,1,7,1,1,3,7,7,2,1,6,6,4,4,4,4,5,5,5,5,3,3,3,3,4,2,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
50,2,2,1983,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,3,3,3,3,3,4,4,-4,-4,6,4,6,4,6,4,5,4,5,3,2,2,5,6,5,4,4,4,4,5,5,4,4,4,4,4,3,4,3,2,2,3,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
51,1,6,1980,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,51057,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,1,5,1,7,1,7,2,7,1,1,1,7,7,7,1,6,6,5,4,4,3,3,5,3,4,4,4,3,2,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-4,-4,-4,-4,-3,2
52,1,12,1983,1,18,86,1,-4,-4,-4,-4,-4,-4,-4,-4,29824,3,3,2,3,4,4,2,5,-4,-4,5,4,6,5,7,3,6,4,5,4,1,3,6,6,2,2,4,5,1,1,7,5,3,4,3,7,2,1,3,1,4,3,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
53,2,4,1984,1,19,87,1,18,86,55,102,18,86,16,85,47134,1,4,1,5,3,2,5,5,-4,-4,5,7,7,7,6,2,7,1,6,1,1,2,7,5,7,2,5,3,1,1,7,7,5,3,5,3,4,3,4,1,5,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
54,2,12,1984,1,-3,-3,1,25,90,4,73,16,85,25,90,58541,1,4,1,5,4,1,3,4,-4,-4,6,3,6,3,6,4,5,5,4,1,1,2,6,6,4,4,4,4,2,3,7,7,4,1,2,2,3,4,3,2,3,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-3,6,-3,6,-4,-4
55,2,2,1981,1,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,53241,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,2,7,3,6,5,6,3,5,1,1,1,6,7,7,1,6,1,2,2,7,6,5,2,5,1,4,4,4,2,2,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,2,2,2,-4,-4
56,2,2,1982,1,86,116,4,-4,-4,-4,-4,-4,-4,-4,-4,96703,4,5,1,4,4,1,2,5,-4,-4,6,4,5,3,7,2,6,5,6,6,1,1,7,6,6,2,5,5,1,2,7,5,5,3,3,5,2,3,4,2,3,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,3,5,3,-4,-4
57,1,12,1982,1,-3,-3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,5,2,4,1,2,2,5,-4,-4,7,1,7,1,7,7,1,1,7,1,1,7,7,7,3,1,1,1,2,6,2,4,2,5,3,5,3,4,2,1,2,3,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
58,1,11,1983,1,16,85,1,-4,-4,-4,-4,-4,-4,-4,-4,15235,2,3,2,4,4,3,1,5,-4,-4,6,3,6,5,7,6,6,4,7,1,4,4,6,6,6,2,4,7,4,2,7,6,6,5,4,5,5,4,5,1,4,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
59,2,4,1981,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,56429,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,5,7,3,5,1,5,2,7,5,6,6,7,7,4,1,6,7,1,2,7,6,4,1,-2,5,3,1,5,1,4,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,3,3,4,3,5,3
60,1,1,1984,1,6,77,4,53,101,19,87,81,113,45,98,1355,2,4,2,4,4,2,2,5,6,77,5,5,5,3,4,6,4,4,5,2,2,2,7,6,3,2,5,3,1,1,7,6,5,6,3,5,-5,-5,-5,-5,-5,-5,-5,-5,4,3,4,2,4,4,2,2,-5,-5,-5,-5,-5,-5,-5,-5,0,3,7,3,7,-4,-4
61,2,5,1983,1,-3,-3,1,-4,-4,-4,-4,-4,-4,-4,-4,44495,1,2,1,5,5,1,4,5,-4,-4,7,5,7,4,6,2,7,4,7,1,1,2,7,7,-4,-4,-4,-4,1,3,7,5,7,6,6,3,4,3,5,1,3,5,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,4,5
62,1,3,1980,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,73429,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,1,7,1,7,1,7,1,7,1,1,1,7,7,1,1,7,7,1,1,7,7,1,1,7,1,3,1,3,2,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,2,5,2,-4,-4
63,2,10,1984,1,25,90,1,13,83,45,98,6,77,16,85,52921,3,4,5,5,4,2,3,5,-4,-4,7,6,7,6,7,4,7,2,6,1,1,1,7,6,4,3,7,6,1,1,7,6,2,6,6,6,3,2,4,2,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,5,6,5,6,3,5
64,1,3,1980,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,34197,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,2,7,5,7,7,2,1,7,7,1,2,7,7,6,2,7,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,1,3,1,5,5,2,1,0,3,3,3,2,-4,-4
65,1,4,1984,1,13,83,1,34,94,27,91,16,85,-4,-4,27471,1,5,1,5,5,1,1,5,37,95,6,6,7,4,7,5,7,1,6,4,1,1,7,7,4,2,7,6,1,7,7,7,3,2,7,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,-4,-4,-4
