"R0000100","R0536300","R0536401","R0536402","R1235800","R1318100","R1318200","R1482600","R3961800","R3961900","R3989100","R3989200","R5473600","R5473700","R7237300","R7237400","R9829600","S0920000","S0920100","S0920200","S0920300","S0920400","S0920500","S0920600","S0920700","S1552600","S1552700","T3162500","T3162501","T3162502","T3162503","T3162504","T3162505","T3162506","T3162507","T3162508","T3162509","T3162600","T3162601","T3162602","T3162603","T3162700","T3162701","T3162702","T3162703","T6216400","T6216401","T6216402","T6216403","T6216500","T6216501","T6216502","T6216503","T9039400","T9039500","T9039600","T9039700","T9039800","T9039900","T9040000","T9040100","U1028900","U1029000","U1029100","U1029200","U1029300","U1029400","U1029500","U1029600","U2969100","U2969200","U2969300","U2969400","U2969500","U2969600","U2969700","U2969800","U4954600","Z9033700","Z9033800","Z9033900","Z9034000","Z9034100","Z9034200"
5216,2,7,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,53073,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,4,6,2,3,5,7,4,5,4,1,1,6,5,7,7,5,1,3,2,5,4,5,7,6,3,2,2,4,2,4,2,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
5217,2,9,1984,1,21,88,4,0,55,77,111,32,93,0,55,12070,2,3,1,5,5,2,4,5,82,114,7,4,7,5,6,2,7,5,5,1,1,1,7,6,1,7,7,4,4,6,7,4,4,7,7,4,4,1,4,1,3,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
5218,1,5,1984,1,27,91,4,92,121,77,111,92,121,87,117,7001,2,3,3,4,4,2,2,5,23,89,5,-2,4,5,5,3,5,6,4,6,5,5,5,5,5,5,5,5,5,5,6,5,4,3,4,3,5,4,3,1,3,3,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
5219,2,11,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,91631,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,4,6,1,6,2,6,1,6,3,1,1,7,7,4,2,4,5,1,1,7,7,4,2,3,5,3,2,4,1,4,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,5,3
5220,1,1,1984,1,100,145,4,98,132,87,117,98,130,82,114,53166,3,4,1,5,4,1,2,5,-4,-4,6,2,7,2,7,2,7,2,6,1,1,1,7,7,6,2,6,6,2,1,7,6,5,2,5,6,3,3,4,1,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,4,5
5221,2,11,1983,1,93,122,4,-4,-4,-4,-4,-4,-4,-4,-4,85882,2,5,1,4,4,4,2,1,-4,-4,7,1,6,1,6,1,6,5,7,2,1,1,7,6,5,2,6,7,1,1,7,6,6,2,5,3,2,2,1,2,1,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
5222,1,7,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,57001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,7,4,2,5,3,6,2,6,1,1,1,7,7,7,7,4,6,1,1,7,6,7,7,7,6,1,2,3,1,2,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,4,3
5223,1,4,1984,1,79,112,4,79,112,81,113,42,97,87,117,49666,1,2,3,2,3,3,2,2,-4,-4,5,2,7,4,5,6,6,2,6,4,2,3,6,3,5,5,5,7,1,2,6,6,4,5,6,7,3,3,4,1,4,4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
5224,1,1,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,32457,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,5,5,3,5,4,4,5,4,4,7,5,6,5,6,7,4,2,2,2,6,6,6,7,5,5,4,-2,4,1,4,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4
5225,2,4,1983,1,77,111,4,-4,-4,-4,-4,-4,-4,-4,-4,70628,4,4,3,4,4,3,4,4,-4,-4,4,5,4,4,5,5,4,5,5,4,4,5,5,4,1,1,4,5,3,3,4,5,4,2,5,5,3,4,4,2,4,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
5226,1,8,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,2,5,2,5,5,2,2,-5,-4,-4,-4,-4,-4,-4
5227,2,6,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,62601,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,5,6,5,5,3,6,2,5,3,1,3,6,4,4,1,6,6,1,1,7,7,4,1,6,3,4,2,4,2,4,4,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,-4,-4,-4,-4
5228,2,3,1983,1,94,123,4,-4,-4,-4,-4,-4,-4,-4,-4,20138,2,4,1,5,4,1,2,5,-4,-4,6,-2,7,2,6,5,6,2,7,5,1,1,6,6,5,7,5,1,3,2,6,5,5,6,4,4,2,3,4,1,4,3,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
5229,1,1,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,55896,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,4,4,2,4,6,4,4,5,2,2,2,5,5,6,5,4,3,1,2,6,6,3,5,4,3,3,2,4,2,4,4,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
5230,2,12,1982,1,58,103,4,-4,-4,-4,-4,-4,-4,-4,-4,25121,3,3,2,2,4,2,1,4,-4,-4,6,4,6,7,6,7,6,5,6,4,3,4,5,6,6,2,5,5,2,1,6,6,4,1,5,3,3,3,3,2,4,2,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
5231,1,1,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,41245,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,1,7,1,4,1,7,1,7,1,1,1,7,7,1,3,7,7,1,1,7,7,1,7,7,5,4,1,5,1,5,5,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,5
5232,2,5,1981,1,-4,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,30949,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,3,3,4,5,2,5,4,5,5,2,2,5,5,6,6,7,2,2,2,3,6,5,6,5,4,1,4,4,3,3,1,4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-4,-4,-4,-4,-4,-4
5233,2,9,1984,1,7,78,4,18,86,16,85,5,75,10,81,15354,2,2,2,2,4,4,4,4,-4,-4,7,3,7,1,7,1,5,-2,6,7,7,7,1,3,3,7,7,7,7,7,-2,7,1,7,7,7,3,4,4,2,2,2,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
5234,1,8,1984,1,77,111,4,81,113,70,108,73,109,73,109,78023,3,3,2,3,3,2,3,4,82,114,4,-2,6,4,5,5,3,4,5,4,2,2,6,6,5,5,5,5,2,2,6,4,4,2,3,3,4,4,3,3,4,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
5235,1,7,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,2,7,2,5,2,6,1,7,4,1,1,7,7,4,1,7,6,1,1,7,7,6,1,6,6,4,2,3,1,4,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,4,2
5236,2,2,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,86278,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,5,7,6,6,5,6,1,2,2,1,1,7,7,-2,1,4,5,1,1,7,6,3,1,4,3,4,4,4,1,5,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,5,3
5237,2,4,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,50596,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,2,5,3,7,1,7,4,4,1,1,1,7,7,6,7,4,4,1,1,7,7,7,6,3,2,1,4,3,1,4,5,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,5,2
5238,1,8,1984,1,88,118,4,86,116,75,110,98,131,100,139,91950,3,4,1,2,4,1,3,5,100,139,2,2,7,1,5,6,6,1,6,2,1,1,6,5,6,2,4,3,2,2,6,1,7,5,3,5,3,4,3,3,3,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,5,6
