sub,run,gain,loss,RT,participant_response
001,03,36,13,1.456,strongly_accept
001,03,16,19,2.08,strongly_reject
001,03,22,17,1.456,weakly_accept
001,03,10,9,1.663,weakly_accept
001,03,40,9,1.248,strongly_accept
001,03,28,14,1.559,weakly_accept
001,03,22,6,1.559,strongly_accept
001,03,14,17,1.561,weakly_reject
001,03,18,18,1.659,weakly_accept
001,03,18,16,1.766,weakly_accept
001,03,24,12,1.769,weakly_accept
001,03,14,11,1.455,weakly_accept
001,03,36,5,0.933,strongly_accept
001,03,30,13,1.456,strongly_accept
001,03,36,17,1.664,weakly_accept
001,03,40,14,1.145,strongly_accept
001,03,10,13,1.456,weakly_reject
001,03,40,19,1.977,weakly_accept
001,03,24,8,1.247,strongly_accept
001,03,38,11,1.975,strongly_accept
001,03,30,15,1.664,weakly_accept
001,03,34,10,1.349,strongly_accept
001,03,22,14,1.768,weakly_accept
001,03,38,5,0.937,strongly_accept
001,03,14,19,1.562,weakly_reject
001,04,28,13,1.352,weakly_accept
001,04,32,8,1.146,strongly_accept
001,04,14,13,1.145,weakly_accept
001,04,18,5,1.246,weakly_accept
001,04,20,13,1.456,weakly_accept
001,04,36,16,2.39,strongly_accept
001,04,12,20,1.458,strongly_reject
001,04,26,17,1.456,weakly_accept
001,04,14,12,1.766,weakly_accept
001,04,12,11,1.248,weakly_accept
001,04,18,15,1.768,weakly_accept
001,04,18,19,1.768,weakly_reject
001,04,28,15,1.664,weakly_accept
001,04,26,19,1.246,weakly_accept
001,04,14,8,1.561,weakly_accept
001,04,10,11,1.249,weakly_reject
001,04,40,11,1.25,strongly_accept
001,04,38,7,1.248,strongly_accept
001,04,10,17,1.352,strongly_reject
001,04,20,17,1.248,weakly_accept
001,04,24,10,1.561,strongly_accept
001,04,30,19,1.659,weakly_accept
001,04,34,9,1.039,strongly_accept
001,04,26,15,1.559,weakly_accept
001,04,16,18,1.978,weakly_reject
001,04,14,16,1.352,weakly_reject
001,04,34,6,1.249,strongly_accept
001,04,24,18,1.456,weakly_accept
001,04,34,5,0.937,strongly_accept
001,04,10,6,1.248,weakly_accept
001,04,26,20,1.354,weakly_accept
001,04,12,13,1.456,weakly_reject
001,04,36,18,1.561,weakly_accept
001,04,22,9,1.559,strongly_accept
001,04,18,12,1.766,weakly_accept
001,04,32,10,1.042,strongly_accept
001,04,38,12,1.56,strongly_accept
001,04,14,7,2.288,weakly_accept
001,04,20,10,1.353,weakly_accept
001,04,12,17,2.287,strongly_reject
001,04,28,10,1.768,strongly_accept
001,04,38,16,1.976,strongly_accept
001,04,18,13,1.975,weakly_accept
001,04,26,6,1.041,strongly_accept
001,04,34,11,1.144,strongly_accept
001,04,30,6,1.144,strongly_accept
001,04,12,7,1.249,weakly_accept
001,04,18,7,1.767,strongly_accept
001,04,22,20,1.769,weakly_accept
001,04,36,20,1.766,strongly_accept
001,04,16,10,1.247,weakly_accept
001,04,38,8,1.041,strongly_accept
001,04,14,15,1.456,weakly_reject
001,04,30,9,1.039,strongly_accept
001,04,26,12,1.248,strongly_accept
001,04,38,17,1.249,weakly_accept
001,04,22,13,1.457,weakly_accept
001,04,40,16,0.935,strongly_accept
001,04,26,14,1.144,weakly_accept
001,04,34,16,1.765,weakly_accept
001,04,40,20,1.453,weakly_accept
001,04,28,6,1.454,strongly_accept
001,04,22,7,1.663,strongly_accept
001,04,24,5,1.041,strongly_accept
002,01,5,11,3.015,weakly_accept
002,01,20,9,1.975,strongly_accept
002,01,8,13,1.87,weakly_reject
002,01,14,9,2.392,weakly_accept
002,01,8,18,1.874,strongly_reject
002,01,10,7,2.493,weakly_accept
002,01,16,17,1.458,strongly_reject
002,01,5,14,1.141,strongly_reject
002,01,6,20,1.041,strongly_reject
002,01,12,11,1.976,weakly_reject
002,01,7,9,1.561,strongly_reject
002,01,19,10,1.56,weakly_accept
002,01,11,15,1.56,strongly_reject
002,01,17,8,1.455,weakly_accept
002,01,7,5,1.143,strongly_reject
002,01,6,17,1.145,strongly_reject
002,01,12,16,1.246,strongly_reject
002,01,6,10,1.145,strongly_reject
002,01,10,13,1.144,strongly_reject
002,01,11,12,1.562,strongly_reject
002,01,13,8,1.353,weakly_reject
002,01,14,19,1.249,strongly_reject
002,01,18,7,1.457,strongly_accept
002,01,18,12,1.766,weakly_reject
002,01,8,7,2.078,weakly_reject
002,01,7,11,1.352,strongly_reject
002,01,7,15,1.559,strongly_reject
002,01,15,9,1.767,weakly_accept
002,01,20,8,1.249,strongly_accept
002,01,9,14,1.144,strongly_reject
002,01,20,18,1.873,weakly_reject
002,01,6,14,1.248,strongly_reject
002,01,12,8,1.872,weakly_reject
002,01,16,14,1.558,weakly_reject
002,01,17,15,1.873,weakly_reject
002,01,14,18,1.56,strongly_reject
002,01,9,17,1.039,strongly_reject
002,01,13,15,0.937,strongly_reject
002,01,14,12,1.56,weakly_reject
002,01,17,20,1.247,strongly_reject
002,01,18,13,1.454,weakly_accept
002,01,12,9,1.873,weakly_accept
002,01,5,8,1.145,strongly_reject
002,01,18,5,1.35,strongly_accept
002,01,5,18,1.352,strongly_reject
002,01,14,20,1.042,strongly_reject
002,01,19,18,2.079,weakly_reject
002,01,15,15,2.079,weakly_reject
002,01,5,5,2.08,weakly_accept
002,01,11,11,1.663,weakly_accept
002,01,15,11,2.182,weakly_accept
002,01,10,18,1.35,strongly_reject
002,01,20,15,1.976,strongly_accept
002,01,17,16,1.458,strongly_reject
002,01,11,5,1.769,weakly_accept
002,01,14,7,1.766,weakly_accept
002,01,11,19,1.561,strongly_reject
002,01,11,20,1.04,strongly_reject
002,01,14,5,1.663,weakly_accept
002,01,13,5,1.248,weakly_accept
002,01,18,20,2.184,weakly_accept
002,01,16,16,1.764,weakly_reject
002,01,11,6,1.872,weakly_reject
002,01,19,9,1.247,strongly_accept
002,02,18,18,1.767,weakly_accept
002,02,17,19,1.871,weakly_reject
002,02,12,10,2.391,weakly_accept
002,02,16,18,1.977,weakly_accept
002,02,9,6,1.351,weakly_reject
002,02,9,12,1.249,weakly_reject
002,02,8,14,1.352,strongly_reject
002,02,6,8,0.936,strongly_reject
002,02,5,7,1.041,strongly_reject
002,02,10,9,1.56,weakly_accept
002,02,17,12,1.871,strongly_accept
002,02,19,17,0.935,strongly_accept
002,02,8,17,1.248,strongly_reject
002,02,11,14,1.351,strongly_reject
002,02,20,12,1.04,strongly_accept
002,02,10,8,1.353,weakly_accept
002,02,18,8,1.769,strongly_accept
002,02,15,18,1.456,weakly_reject
002,02,12,5,1.559,weakly_accept
002,02,14,17,1.249,weakly_reject
002,02,15,7,1.767,weakly_accept
002,02,7,12,0.932,strongly_reject
002,02,6,7,1.143,strongly_reject
002,02,16,19,1.562,weakly_reject
002,02,19,16,1.037,strongly_accept
002,02,9,16,1.246,strongly_reject
002,02,5,20,0.937,strongly_reject
002,02,14,11,1.352,weakly_reject
002,02,15,6,1.352,weakly_accept
002,02,17,11,1.77,weakly_accept
002,02,10,19,1.245,strongly_reject
002,02,6,13,0.936,strongly_reject
002,02,12,12,1.456,weakly_accept
002,02,19,15,1.037,strongly_accept
002,02,7,16,1.041,strongly_reject
002,02,19,8,1.142,strongly_accept
002,02,16,7,1.872,strongly_accept
002,02,19,13,1.56,strongly_accept
002,02,11,16,1.249,strongly_reject
002,02,12,20,1.041,strongly_reject
002,02,16,13,1.764,weakly_accept
002,02,5,17,0.936,strongly_reject
002,02,18,16,1.353,strongly_accept
002,02,16,10,1.97,strongly_accept
002,02,12,6,1.247,weakly_accept
002,02,5,19,1.041,strongly_reject
002,02,14,6,1.144,weakly_accept
