stimulus,condition,rt1,resp1,rt2,resp2,rt3,resp3,rt4,resp4,rt5,resp5,enter_rt,enter_resp,unknown,subject,session
61431,2,1010,6,239,1,303,4,236,3,243,1,420,-35,,1,1
71461,0,915,7,249,1,331,4,358,6,248,1,306,-35,,1,1
23974,2,887,2,226,3,240,9,252,7,240,4,265,-35,,1,1
58719,2,1112,5,244,8,231,7,244,1,221,9,297,-35,,1,1
26958,2,845,2,317,6,271,9,281,5,294,8,311,-35,,1,1
14319,2,639,1,489,4,449,3,217,1,221,9,356,-35,,1,1
59737,0,833,5,235,9,248,7,236,3,262,7,270,-35,,1,1
43956,2,932,4,235,3,271,9,298,5,240,6,270,-35,,1,1
23742,2,782,2,240,3,266,7,340,4,231,2,351,-35,,1,1
42525,2,838,4,231,2,285,5,235,2,253,5,297,-35,,1,1
42597,2,767,4,245,2,303,5,276,9,312,7,284,-35,,1,1
84278,2,1012,8,226,4,239,2,235,7,222,8,256,-35,,1,1
42612,2,838,4,286,2,335,6,285,1,235,2,293,-35,,1,1
12652,2,657,1,248,2,258,6,271,5,249,2,316,-35,,1,1
71818,2,949,7,303,1,236,8,244,1,249,8,274,-35,,1,1
65695,0,997,6,243,5,268,6,253,9,353,5,288,-35,,1,1
19459,2,813,1,577,6,554,4,240,5,250,9,501,-35,,1,1
73943,2,1191,7,254,3,322,9,262,4,322,5,752,-35,,1,1
81818,0,742,8,249,1,263,8,262,1,240,8,247,-35,,1,1
27426,2,806,2,344,7,371,4,259,2,240,6,379,-35,,1,1
42745,0,822,4,299,2,299,7,285,4,213,5,288,-35,,1,1
38186,0,891,3,248,8,249,1,272,8,294,6,343,-35,,1,1
25619,2,845,2,239,5,244,6,258,1,222,9,478,-35,,1,1
59746,2,866,5,240,9,244,7,632,5,619,-35,0,-48,,1,1
19239,2,758,1,623,9,494,2,195,3,207,9,383,-35,,1,1
97814,2,1020,9,353,7,309,8,285,1,271,4,320,-35,,1,1
84581,2,1208,8,263,4,321,5,268,8,316,1,425,-35,,1,1
14318,2,1627,1,253,4,313,3,271,8,749,1,293,-35,,1,1
58123,2,850,5,276,8,267,1,245,2,363,3,270,-35,,1,1
58638,0,715,5,303,8,476,6,267,3,240,8,301,-35,,1,1
14263,0,914,1,298,4,331,2,254,6,267,3,374,-35,,1,1
59237,2,843,5,277,9,422,2,421,3,244,7,260,-35,,1,1
23745,2,690,2,267,3,271,7,267,4,217,5,279,-35,,1,1
43861,2,1338,4,318,3,335,8,304,6,249,1,297,-35,,1,1
61812,2,847,6,248,1,254,8,285,1,235,2,288,-35,,1,1
87145,0,1010,8,253,7,281,1,280,4,235,5,311,-35,,1,1
71461,0,884,7,284,1,313,4,290,6,244,1,279,-35,,1,1
25861,2,715,2,280,5,258,8,295,6,239,1,302,-35,,1,1
37397,2,827,3,285,7,268,3,267,9,225,7,293,-35,,1,1
25637,2,738,2,253,5,276,6,258,3,326,7,270,-35,,1,1
12592,0,603,1,263,2,271,5,244,9,327,2,279,-35,,1,1
92594,2,899,9,294,2,307,5,341,9,284,4,334,-35,,1,1
25874,2,794,2,240,5,262,8,276,7,271,4,280,-35,,1,1
84659,2,1020,8,272,4,368,6,407,5,309,9,351,-35,,1,1
69439,0,897,6,444,9,439,4,427,3,285,9,415,-35,,1,1
73878,2,1143,7,1428,3,362,8,299,7,185,8,338,-35,,1,1
23126,2,1097,2,277,3,322,1,276,2,344,6,361,-35,,1,1
31846,2,909,3,238,1,263,8,253,4,335,6,275,-35,,1,1
73731,2,880,7,241,3,279,7,245,3,253,1,270,-35,,1,1
38692,2,803,3,344,8,372,6,541,9,385,2,333,-35,,1,1
52697,0,859,5,258,2,317,6,272,9,298,7,288,-35,,1,1
59561,2,900,5,235,9,289,5,596,6,243,4,79,1,,1,1
71456,2,835,7,340,1,312,4,226,5,341,6,329,-35,,1,1
26945,2,858,2,318,6,244,9,284,4,217,5,270,-35,,1,1
59737,0,1335,5,413,9,226,7,236,3,230,7,224,-35,,1,1
94278,2,1115,9,380,4,418,2,276,7,208,8,320,-35,,1,1
14312,2,1104,1,290,4,281,3,230,1,254,2,451,-35,,1,1
27142,2,708,2,326,7,331,1,275,4,240,2,329,-35,,1,1
58712,2,879,5,358,8,376,7,308,1,194,2,225,-35,,1,1
42745,0,876,4,236,2,275,7,267,4,185,5,248,-35,,1,1
73923,2,1017,7,294,3,276,9,444,2,240,3,224,-35,,1,1
74271,2,998,7,280,4,267,2,276,7,317,1,288,-35,,1,1
38186,0,777,3,221,8,262,1,250,8,240,6,269,-35,,1,1
61463,2,856,6,289,1,335,4,286,6,249,3,246,-35,,1,1
69439,0,757,6,303,9,339,4,276,3,230,9,311,-35,,1,1
25927,2,698,2,331,5,354,9,421,2,294,7,338,-35,,1,1
19581,2,751,1,341,9,307,5,231,8,267,1,274,-35,,1,1
14263,0,801,1,253,4,290,2,317,6,248,3,246,-35,,1,1
61237,2,1141,6,272,1,272,2,262,3,299,7,279,-35,,1,1
59712,2,813,5,286,9,230,7,253,1,231,2,228,-35,,1,1
23127,2,672,2,218,3,234,1,226,2,221,7,266,-35,,1,1
56526,2,924,5,244,6,253,5,235,2,230,6,251,-35,,1,1
39584,2,756,3,235,9,280,5,572,8,221,4,288,-35,,1,1
59427,2,719,5,240,9,234,4,226,2,221,7,260,-35,,1,1
25814,2,726,2,234,5,249,8,230,1,198,4,284,-35,,1,1
73738,2,1395,7,572,3,335,7,313,3,258,8,265,-35,,1,1
56958,2,898,5,222,6,221,9,239,5,198,8,315,-35,,1,1
65695,0,822,5,277,6,1018,6,554,9,294,5,329,-35,,1,1
63971,2,880,6,239,3,321,9,221,7,280,1,261,-35,,1,1
38719,2,823,3,243,8,326,7,394,1,227,9,352,-35,,1,1
94618,2,805,9,294,4,257,6,290,1,253,8,293,-35,,1,1
81437,2,899,8,249,1,271,4,249,3,303,7,265,-35,,1,1
58143,2,732,5,308,8,276,1,398,4,222,3,306,-35,,1,1
56142,2,724,5,358,6,253,1,626,4,235,2,283,-35,,1,1
38452,2,939,3,234,8,262,4,267,5,240,2,306,-35,,1,1
63958,2,921,6,249,3,358,9,599,5,225,8,293,-35,,1,1
